2026-09-17T17:52:14Z INFO Logging to /tmp/logs/update_2026-09-17T17-52-14Z.log.
2026-09-17T17:52:14Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-17T17:52:14Z INFO Processing 371 items (48413 already recorded).
2026-09-17T17:52:15Z INFO [1/371] 031ead3d-5b25-470a-9e4a-ce71a59cce1e: 63 chunks; 1.0 s; peak memory 137 MiB.
2026-09-17T17:52:16Z INFO [2/371] 031eaed9-8c5a-4641-8dbc-727617a5e071: 65 chunks; 0.9 s; peak memory 139 MiB.
2026-09-17T17:52:17Z INFO [3/371] 031ec13b-5ba0-41ad-8616-4e096672c2cf: 117 chunks; 0.8 s; peak memory 141 MiB.
2026-09-17T17:52:20Z INFO [4/371] 031f08bd-8b9d-420c-a50b-1de3cbd5d026: 6652 chunks; 3.0 s; peak memory 156 MiB.
2026-09-17T17:52:20Z INFO [5/371] 031f10e6-c448-4607-bf4d-105dac9357dd: 117 chunks; 0.8 s; peak memory 156 MiB.
2026-09-17T17:52:22Z INFO [6/371] 031f7146-a42c-4d6a-a31a-1e9f2c395779: 71 chunks; 1.0 s; peak memory 156 MiB.
2026-09-17T17:52:22Z INFO [7/371] 03206baf-a88c-4c20-b780-cb8a6e42624c: 112 chunks; 1.0 s; peak memory 157 MiB.
2026-09-17T17:52:23Z INFO [8/371] 03208b4c-3453-42ce-a4bc-66ba61308329: 50 chunks; 0.7 s; peak memory 157 MiB.
2026-09-17T17:52:24Z INFO [9/371] 0320bea0-3094-4c04-a8db-461b04e6eaf2: 48 chunks; 0.7 s; peak memory 157 MiB.
2026-09-17T17:52:25Z INFO [10/371] 032137d6-d4b1-467c-a85c-973ed7513df2: 117 chunks; 0.9 s; peak memory 157 MiB.
2026-09-17T17:52:25Z INFO [11/371] 03218b80-9caf-45af-bd7f-5956e243f5b8: 58 chunks; 0.6 s; peak memory 157 MiB.
2026-09-17T17:52:27Z INFO [12/371] 0322e3f9-64b5-4e78-865e-74f060889edf: 85 chunks; 2.1 s; peak memory 157 MiB.
2026-09-17T17:52:39Z INFO [13/371] 03238fef-42c2-4294-a6a1-5267a33c07d5: 28603 chunks; 11.7 s; peak memory 199 MiB.
2026-09-17T17:52:40Z INFO [14/371] 0323b62c-bc7f-4806-9ad9-1696d2b42bb9: 230 chunks; 0.8 s; peak memory 199 MiB.
