2026-09-18T22:04:27Z INFO Logging to /tmp/logs/update_2026-09-18T22-04-27Z.log.
2026-09-18T22:04:27Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-18T22:04:27Z INFO Processing 369 items (49898 already recorded).
2026-09-18T22:04:28Z INFO [1/369] 064dbccc-cac7-4909-8c3f-2cc127d8fe60: 46 chunks; 0.8 s; peak memory 139 MiB.
2026-09-18T22:04:29Z INFO [2/369] 064dfd3f-a6d3-4494-9842-30eb6ac2d533: 118 chunks; 0.9 s; peak memory 142 MiB.
2026-09-18T22:04:31Z INFO [3/369] 064e1660-1e68-4ade-a363-40abdc7ea611: 90 chunks; 1.9 s; peak memory 144 MiB.
2026-09-18T22:04:32Z INFO [4/369] 064fefac-41fe-4311-968c-265ebcf46d87: 89 chunks; 0.7 s; peak memory 144 MiB.
2026-09-18T22:04:33Z INFO [5/369] 06508326-2418-47cd-b3fc-bea60f0c9e2e: 117 chunks; 0.8 s; peak memory 145 MiB.
2026-09-18T22:04:34Z INFO [6/369] 0650837b-7e7f-4e5e-ae30-433afc75e218: 112 chunks; 0.9 s; peak memory 145 MiB.
2026-09-18T22:04:35Z INFO [7/369] 06514b38-f075-4f13-971a-0c598258b934: 48 chunks; 0.9 s; peak memory 145 MiB.
2026-09-18T22:04:35Z INFO [8/369] 065286f4-88ef-48a8-b1f3-5b3c5af047c6: 116 chunks; 0.7 s; peak memory 145 MiB.
2026-09-18T22:04:36Z INFO [9/369] 06543034-a261-498b-a0e8-f7b3d32f359c: 42 chunks; 0.7 s; peak memory 145 MiB.
2026-09-18T22:04:39Z INFO [10/369] 0654a4f0-5300-4cc4-9f27-b8350bd04a36: 2085 chunks; 2.7 s; peak memory 151 MiB.
2026-09-18T22:04:39Z INFO [11/369] 0654bbd6-3706-4d30-b4e7-bcfee7f1c3db: 48 chunks; 0.7 s; peak memory 151 MiB.
2026-09-18T22:04:46Z INFO [12/369] 06553df4-22a5-4c1c-8c62-d688b40edf2b: 3198 chunks; 6.7 s; peak memory 164 MiB.
2026-09-18T22:04:51Z INFO [13/369] 0655595d-cce5-46c1-b57d-becc785c2660: 343 chunks; 5.2 s; peak memory 167 MiB.
2026-09-18T22:04:52Z INFO [14/369] 0655fca6-a89b-4fb0-b001-af59d773e192: 48 chunks; 0.7 s; peak memory 167 MiB.
2026-09-18T22:04:53Z INFO [15/369] 06564355-37a9-4e4e-a408-044fbb58d2ae: 71 chunks; 1.2 s; peak memory 168 MiB.
2026-09-18T22:04:54Z INFO [16/369] 06564d7c-eb5f-4c38-9839-0b683a842d88: 112 chunks; 0.6 s; peak memory 168 MiB.
2026-09-18T22:04:55Z INFO [17/369] 06566cfe-5f8b-4b83-9075-59629872c4cf: 48 chunks; 0.7 s; peak memory 168 MiB.
2026-09-18T22:04:58Z INFO [18/369] 0656b2ab-b374-40e0-bc3f-e24b4e8a0a65: 231 chunks; 3.4 s; peak memory 168 MiB.
2026-09-18T22:04:59Z INFO [19/369] 06572ae3-0f68-4e5b-9962-b62170a61fac: 48 chunks; 0.8 s; peak memory 169 MiB.
2026-09-18T22:04:59Z INFO [20/369] 06578be0-0314-4595-856e-067aba710103: 45 chunks; 0.4 s; peak memory 169 MiB.
2026-09-18T22:05:00Z INFO [21/369] 065875df-55d8-4785-abff-22e7c7d1e350: 112 chunks; 0.9 s; peak memory 169 MiB.
2026-09-18T22:05:01Z INFO [22/369] 06588843-144a-4294-a801-ae910f9ff18e: 112 chunks; 0.9 s; peak memory 169 MiB.
2026-09-18T22:05:02Z INFO [23/369] 065a21d1-8076-4e71-932d-1ba3fdf29136: 112 chunks; 0.7 s; peak memory 169 MiB.
2026-09-18T22:05:02Z INFO [24/369] 065a6a76-e45f-48f6-961b-00948e12bf44: 118 chunks; 0.7 s; peak memory 169 MiB.
2026-09-18T22:05:04Z INFO [25/369] 065b371e-770b-4113-b41b-27f8e204cc56: 105 chunks; 1.3 s; peak memory 169 MiB.
2026-09-18T22:05:08Z INFO [26/369] 065c0e14-a6a5-4caa-a11c-b1f846f616d7: 4171 chunks; 4.8 s; peak memory 169 MiB.
2026-09-18T22:05:09Z INFO [27/369] 065c1f7b-13f4-47b7-a2a2-4caa60060261: 117 chunks; 0.7 s; peak memory 169 MiB.
2026-09-18T22:05:10Z INFO [28/369] 065ca47c-4b02-44ed-ba82-85561df18640: 66 chunks; 1.2 s; peak memory 169 MiB.
