2026-09-21T20:43:17Z INFO Logging to /tmp/logs/update_2026-09-21T20-43-17Z.log.
2026-09-21T20:43:17Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-21T20:43:17Z INFO Processing 356 items (52864 already recorded).
2026-09-21T20:43:19Z INFO [1/356] 0c83f718-2af5-4943-9ed6-4fa50b7ace14: 57 chunks; 1.5 s; peak memory 142 MiB.
2026-09-21T20:43:22Z INFO [2/356] 0c8427fa-1b57-4f71-8fb4-aa7cc45ceb01: 114 chunks; 3.5 s; peak memory 145 MiB.
2026-09-21T20:43:24Z INFO [3/356] 0c844f18-c189-4991-8439-e55942bd52be: 71 chunks; 2.1 s; peak memory 146 MiB.
2026-09-21T20:43:26Z INFO [4/356] 0c8459e6-4109-4d57-b5c3-64fba140fab7: 33 chunks; 1.5 s; peak memory 146 MiB.
2026-09-21T20:43:28Z INFO [5/356] 0c84cf1e-9c0f-444f-9bc1-347150dda800: 117 chunks; 1.8 s; peak memory 147 MiB.
2026-09-21T20:43:31Z INFO [6/356] 0c854ba5-09a2-4c5a-bc58-413036720859: 115 chunks; 3.1 s; peak memory 148 MiB.
2026-09-21T20:43:34Z INFO [7/356] 0c86349f-887a-424a-8ba5-7829815a85aa: 66 chunks; 2.9 s; peak memory 148 MiB.
2026-09-21T20:43:56Z INFO [8/356] 0c86755b-87f6-4518-9601-f4e329d59218: 26876 chunks; 22.1 s; peak memory 200 MiB.
2026-09-21T20:43:58Z INFO [9/356] 0c86e473-9c4b-4fbf-9acd-58fc1348657a: 118 chunks; 2.6 s; peak memory 200 MiB.
2026-09-21T20:44:00Z INFO [10/356] 0c875f1f-5618-4f2d-afe0-a269189dc0bc: 66 chunks; 1.9 s; peak memory 200 MiB.
2026-09-21T20:44:02Z INFO [11/356] 0c882275-f543-4aea-93e9-9ab41b8200e0: 112 chunks; 1.6 s; peak memory 200 MiB.
2026-09-21T20:44:04Z INFO [12/356] 0c88fcf2-7a15-494f-9081-75dfab4547bb: 112 chunks; 2.0 s; peak memory 201 MiB.
2026-09-21T20:44:05Z INFO [13/356] 0c894799-e5a1-4add-8ab1-0a5bd3f8dc9a: 48 chunks; 1.3 s; peak memory 201 MiB.
2026-09-21T20:44:06Z INFO [14/356] 0c899809-a85b-432b-97b5-651525cc83c5: 48 chunks; 1.4 s; peak memory 201 MiB.
2026-09-21T20:44:08Z INFO [15/356] 0c8b097d-0e80-4d09-b1f6-cdd3f7f98684: 93 chunks; 1.8 s; peak memory 201 MiB.
2026-09-21T20:44:10Z INFO [16/356] 0c8b3d92-3091-4d3b-af1b-71d784e97e81: 114 chunks; 1.7 s; peak memory 201 MiB.
2026-09-21T20:44:17Z INFO [17/356] 0c8b486f-53ad-4ece-8bd1-074dcae05272: 2836 chunks; 7.0 s; peak memory 202 MiB.
2026-09-21T20:44:19Z INFO [18/356] 0c8c083f-82c1-4b7c-8d4b-02bc2e7e679b: 112 chunks; 1.9 s; peak memory 202 MiB.
2026-09-21T20:44:22Z INFO [19/356] 0c8c78fe-9070-4675-bbae-9b08ad8756f4: 87 chunks; 2.9 s; peak memory 202 MiB.
2026-09-21T20:44:25Z INFO [20/356] 0c8e2699-c4b3-46c8-a389-c9e561a4eea1: 933 chunks; 2.8 s; peak memory 202 MiB.
2026-09-21T20:44:34Z INFO [21/356] 0c8e8251-4bf6-49c5-b51c-26afed14fffe: 11860 chunks; 9.9 s; peak memory 202 MiB.
2026-09-21T20:44:51Z INFO [22/356] 0c8fb1d1-6217-4860-b7f2-49d94a6b09da: 8229 chunks; 16.3 s; peak memory 203 MiB.
2026-09-21T20:44:52Z INFO [23/356] 0c90815c-0753-48be-b290-065652c7a860: 111 chunks; 1.5 s; peak memory 203 MiB.
2026-09-21T20:44:55Z INFO [24/356] 0c90c21e-d656-46b9-96df-ab2838e55e1c: 71 chunks; 2.3 s; peak memory 203 MiB.
2026-09-21T20:44:56Z INFO [25/356] 0c90c912-80b6-4272-ab77-db9197656c73: 118 chunks; 1.8 s; peak memory 203 MiB.
2026-09-21T20:45:54Z INFO [26/356] 0c90dc14-a18e-433b-9845-63a910891862: 26418 chunks; 57.8 s; peak memory 253 MiB.
2026-09-21T20:45:56Z INFO [27/356] 0c915dcd-c880-4b64-b8f6-6c7300948dfa: 62 chunks; 1.7 s; peak memory 253 MiB.
2026-09-21T20:46:08Z INFO [28/356] 0c915e9d-d655-4a73-9473-3d297e169ac1: 20747 chunks; 12.4 s; peak memory 253 MiB.
2026-09-21T20:46:11Z INFO [29/356] 0c918999-95d0-4466-94ba-2cfde8d6bc1b: 114 chunks; 3.1 s; peak memory 253 MiB.
2026-09-21T20:46:15Z INFO [30/356] 0c922276-7be6-41b7-9ebb-60681c97732b: 115 chunks; 3.2 s; peak memory 253 MiB.
2026-09-21T20:46:21Z INFO [31/356] 0c92a3c7-b974-4012-ad31-9f136539c177: 6823 chunks; 6.8 s; peak memory 253 MiB.
