2026-09-22T17:50:19Z INFO Logging to /tmp/logs/update_2026-09-22T17-50-19Z.log.
2026-09-22T17:50:19Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-22T17:50:20Z INFO Processing 371 items (53953 already recorded).
2026-09-22T17:50:21Z INFO [1/371] 0ebf383b-d267-4424-850c-41c6769094f4: 117 chunks; 1.2 s; peak memory 145 MiB.
2026-09-22T17:50:23Z INFO [2/371] 0ebffe25-9709-4262-b719-d36872a03379: 95 chunks; 2.1 s; peak memory 147 MiB.
2026-09-22T17:50:24Z INFO [3/371] 0ec05ffe-179a-4743-9081-df4e3428149e: 94 chunks; 1.6 s; peak memory 148 MiB.
2026-09-22T17:50:25Z INFO [4/371] 0ec0bf21-c9ba-41fc-b26c-4ba6907c4773: 46 chunks; 0.5 s; peak memory 148 MiB.
2026-09-22T17:50:39Z INFO [5/371] 0ec195b1-d277-4328-b315-f734c3319b4c: 6040 chunks; 14.3 s; peak memory 168 MiB.
2026-09-22T17:54:12Z INFO [6/371] 0ec20f3f-21f9-4f9f-8922-ed91d1cc7fe3: 1916257 chunks; 212.5 s; peak memory 1308 MiB.
2026-09-22T17:54:13Z INFO [7/371] 0ec2c93f-f6df-42c1-ac3f-0137187d91e7: 112 chunks; 1.0 s; peak memory 1308 MiB.
2026-09-22T17:55:35Z INFO [8/371] 0ec34ace-8043-4e3d-a99f-cb5ff2f4643d: 37921 chunks; 82.3 s; peak memory 1308 MiB.
2026-09-22T17:55:36Z INFO [9/371] 0ec45705-1047-447f-a162-1b7240fe8340: 48 chunks; 0.7 s; peak memory 1308 MiB.
2026-09-22T17:55:36Z INFO [10/371] 0ec46f52-c444-4de8-886f-f6e4ed61b764: 48 chunks; 0.7 s; peak memory 1308 MiB.
2026-09-22T17:55:38Z INFO [11/371] 0ec4c134-704e-453f-9420-9e95470e1b1a: 71 chunks; 1.1 s; peak memory 1308 MiB.
2026-09-22T17:55:38Z INFO [12/371] 0ec4f71d-d190-49fc-a03e-d1c39490c9a6: 118 chunks; 0.8 s; peak memory 1308 MiB.
2026-09-22T17:55:44Z INFO [13/371] 0ec53767-5b7a-4761-bdef-33d109129822: 19700 chunks; 6.0 s; peak memory 1308 MiB.
2026-09-22T17:56:01Z INFO [14/371] 0ec5b4bf-9baa-44a4-8ce8-fe661f53522e: 6578 chunks; 16.4 s; peak memory 1308 MiB.
2026-09-22T17:56:02Z INFO [15/371] 0ec5d952-d4a6-4d48-9d25-e3185a62632a: 117 chunks; 1.0 s; peak memory 1308 MiB.
2026-09-22T17:56:03Z INFO [16/371] 0ec5fe73-2f37-4325-b42b-29d2b12350b9: 62 chunks; 1.0 s; peak memory 1308 MiB.
2026-09-22T17:57:33Z INFO [17/371] 0ec659da-4d78-49f7-9cb8-ddbca02b94fc: 40651 chunks; 90.1 s; peak memory 1308 MiB.
2026-09-22T17:57:34Z INFO [18/371] 0ec6a982-b65d-4877-9eae-7fec0fa1e3e4: 48 chunks; 0.8 s; peak memory 1308 MiB.
2026-09-22T17:57:39Z INFO [19/371] 0ec6c986-d74d-495f-8a5b-a4584a2f4112: 31710 chunks; 5.4 s; peak memory 1308 MiB.
2026-09-22T17:57:40Z INFO [20/371] 0ec7ac53-c6d5-4c3b-8b73-9afbabb5c2a3: 66 chunks; 1.0 s; peak memory 1308 MiB.
2026-09-22T17:57:41Z INFO [21/371] 0ec85762-ab27-4c2e-bc15-83e7c7e2b8ab: 62 chunks; 0.7 s; peak memory 1308 MiB.
2026-09-22T17:57:42Z INFO [22/371] 0ec8ccb0-102e-48f0-bcac-8edfc5062d67: 116 chunks; 0.8 s; peak memory 1308 MiB.
2026-09-22T17:57:42Z INFO [23/371] 0ec8f843-982d-47ef-83d8-e70c744a091b: 116 chunks; 0.8 s; peak memory 1308 MiB.
2026-09-22T17:57:43Z INFO [24/371] 0ec90faf-57b9-48cc-9719-63568bb11dce: 117 chunks; 0.8 s; peak memory 1308 MiB.
2026-09-22T17:57:49Z INFO [25/371] 0ec939da-d3fb-47fe-b9a6-d90bad462bd3: 20547 chunks; 6.2 s; peak memory 1308 MiB.
2026-09-22T17:57:50Z INFO [26/371] 0ec9583e-0055-4b0c-bc9c-54eb35262bc4: 48 chunks; 0.8 s; peak memory 1308 MiB.
2026-09-22T17:59:18Z INFO [27/371] 0eca19c6-fecf-437f-bc17-4190771e4622: 38157 chunks; 88.4 s; peak memory 1308 MiB.
2026-09-22T17:59:20Z INFO [28/371] 0eca336d-f7fd-4c0e-b407-0f7eb6c289a0: 112 chunks; 1.2 s; peak memory 1308 MiB.
2026-09-22T17:59:20Z INFO [29/371] 0eca39b2-a38f-4ba7-9e08-9a2091bfe381: 112 chunks; 0.8 s; peak memory 1308 MiB.
2026-09-22T17:59:21Z INFO [30/371] 0eca55e5-bce8-4025-9856-1afb187c3a1e: 118 chunks; 0.8 s; peak memory 1308 MiB.
2026-09-22T17:59:22Z INFO [31/371] 0eca585b-2cb5-40f0-918a-017d855b2370: 71 chunks; 1.2 s; peak memory 1308 MiB.
2026-09-22T17:59:35Z INFO [32/371] 0eca86ad-9e38-4996-b0dd-a86cf5317c4e: 26732 chunks; 12.2 s; peak memory 1308 MiB.
2026-09-22T17:59:35Z INFO [33/371] 0ecaae44-938b-4b53-ae5d-bb5b3c8794b9: 48 chunks; 0.7 s; peak memory 1308 MiB.
2026-09-22T17:59:41Z INFO [34/371] 0ecb528e-1471-4688-8454-616fad7493e3: 11832 chunks; 6.0 s; peak memory 1308 MiB.
2026-09-22T17:59:45Z INFO [35/371] 0ecbc841-0bd4-4118-aebe-5699af466491: 13706 chunks; 3.8 s; peak memory 1308 MiB.
2026-09-22T17:59:46Z INFO [36/371] 0ecc5e25-c10c-4c2f-8716-2ea98294b21b: 112 chunks; 0.9 s; peak memory 1308 MiB.
2026-09-22T17:59:47Z INFO [37/371] 0ecdcef3-495a-46d4-acf3-f8312703dbd5: 70 chunks; 0.8 s; peak memory 1308 MiB.
2026-09-22T17:59:48Z INFO [38/371] 0ece7e08-bbcf-4dd2-a0b1-cb6441df1bf0: 62 chunks; 0.9 s; peak memory 1308 MiB.
2026-09-22T17:59:49Z INFO [39/371] 0ecf252a-6a64-481e-b81a-f31cbb2521a9: 116 chunks; 0.9 s; peak memory 1308 MiB.
