2026-09-24T18:04:21Z INFO Logging to /tmp/logs/update_2026-09-24T18-04-21Z.log.
2026-09-24T18:04:21Z INFO Update valid-nwb-file-to-chunk-stats (base directory /tmp).
2026-09-24T18:04:22Z INFO Processing 360 items (56167 already recorded).
2026-09-24T18:04:23Z INFO [1/360] 133e077f-8ffe-4461-9f90-798eed447623: 48 chunks; 0.9 s; peak memory 143 MiB.
2026-09-24T18:04:23Z INFO [2/360] 133e1d65-eab6-414d-af9c-e70c2b4c942b: 37 chunks; 0.7 s; peak memory 143 MiB.
2026-09-24T18:04:24Z INFO [3/360] 133e6384-ec85-4826-945e-4ce42a36be4f: 72 chunks; 0.9 s; peak memory 146 MiB.
2026-09-24T18:04:25Z INFO [4/360] 133fb86c-53a9-46e6-9947-816b7083860e: 112 chunks; 0.8 s; peak memory 147 MiB.
2026-09-24T18:04:26Z INFO [5/360] 133fedf3-469a-4d4f-a579-8c1f0eb48d88: 132 chunks; 0.6 s; peak memory 147 MiB.
2026-09-24T18:04:26Z INFO [6/360] 1340de89-59ad-43ff-9c7a-29e188046316: 48 chunks; 0.7 s; peak memory 147 MiB.
2026-09-24T18:04:28Z INFO [7/360] 1341ee69-285a-43c5-9cd1-c1c5b6b25de6: 156 chunks; 2.1 s; peak memory 150 MiB.
2026-09-24T18:04:29Z INFO [8/360] 1341f32e-5346-4652-87d0-ea9d3a860118: 117 chunks; 1.0 s; peak memory 150 MiB.
2026-09-24T18:04:30Z INFO [9/360] 134222dc-5f83-424c-8b18-ee29552bb29e: 48 chunks; 0.8 s; peak memory 150 MiB.
2026-09-24T18:04:31Z INFO [10/360] 1342c5e7-8ac8-40d0-9bb0-78b7e6a8f2e1: 48 chunks; 0.8 s; peak memory 151 MiB.
2026-09-24T18:04:32Z INFO [11/360] 1343af82-9920-4df9-99df-46057e71fd85: 71 chunks; 1.1 s; peak memory 151 MiB.
2026-09-24T18:04:36Z INFO [12/360] 13440302-5655-4044-a60e-b638a2c42f0e: 26951 chunks; 3.9 s; peak memory 175 MiB.
2026-09-24T18:04:37Z INFO [13/360] 13446798-634d-42ad-8dfe-dd10227711db: 112 chunks; 0.9 s; peak memory 175 MiB.
